                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.6691,                 1.1247,                 1.5475,                0.34891,                 0.4075,                0.36996,                0.11541,                 2.6315,                 1.8838,                 2.5451,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.6814,                 1.1141,                 1.5721,                0.58429,                0.90031,                0.68826,                0.35451,                 1.6125,                 1.0584,                 1.7242,               0.007624,               0.007624,               0.007624
                     50,                 1.6742,                 1.1126,                 1.5667,                0.51354,                0.74089,                0.54057,                0.20231,                 2.0864,                 1.3868,                 2.0593,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.6881,                 1.1221,                 1.5854,                0.61169,                0.32106,                0.34637,                0.12888,                 2.4216,                 2.3478,                 2.3775,               0.007525,               0.007525,               0.007525
                     52,                 1.6628,                  1.102,                 1.5721,                0.00808,                0.71621,                0.02044,                 0.0075,                  3.012,                 3.2825,                 3.0601,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.6627,                  1.104,                 1.5629,                0.60364,                0.86534,                0.75977,                0.39185,                  1.697,                0.98792,                 1.7533,               0.007426,               0.007426,               0.007426
                     54,                 1.6762,                  1.083,                 1.5773,                0.00083,                 0.0553,                 0.0007,                0.00014,                 4.1819,                 6.1728,                 3.9014,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.6732,                 1.1296,                 1.5765,                0.56503,                0.87564,                0.75363,                0.36581,                 1.8025,                 1.0865,                  1.839,               0.007327,               0.007327,               0.007327
                     56,                 1.6497,                 1.0901,                 1.5459,                0.53749,                0.94861,                0.71075,                0.34272,                 1.8392,                 1.2095,                 1.8827,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.6669,                 1.0819,                 1.5327,                0.59426,                0.88124,                0.75241,                0.37726,                 1.7879,                  1.035,                 1.8135,               0.007228,               0.007228,               0.007228
                     58,                 1.6704,                 1.0629,                 1.5599,                0.56127,                0.79782,                0.71565,                0.33749,                 1.7747,                 1.1373,                 1.8083,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.6593,                 1.0697,                 1.5427,                0.58716,                 0.9093,                 0.7186,                0.38126,                 1.7149,                 1.0295,                 1.7976,               0.007129,               0.007129,               0.007129
                     60,                 1.6728,                 1.0689,                  1.548,                0.38521,                0.34592,                0.25852,                0.07454,                 3.0291,                 1.9282,                 2.6646,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.6707,                 1.0736,                 1.5604,                0.58503,                 0.8347,                0.73621,                 0.2831,                  2.063,                 1.0999,                 2.0353,                0.00703,                0.00703,                0.00703
                     62,                 1.6738,                 1.0549,                 1.5638,                0.66755,                0.85443,                0.73549,                0.34366,                 1.8825,                 1.0662,                 1.8938,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.6335,                 1.0558,                 1.5363,                0.58986,                0.92453,                0.76086,                0.39139,                 1.7075,                 1.0232,                 1.7723,               0.006931,               0.006931,               0.006931
                     64,                 1.6394,                 1.0246,                  1.557,                0.08711,                0.09204,                0.03269,                0.00526,                 4.3109,                 8.4572,                  10.87,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.652,                 1.0647,                 1.5498,                0.61542,                0.37222,                0.45235,                 0.2009,                 2.0761,                 1.7689,                 2.1407,               0.006832,               0.006832,               0.006832
                     66,                 1.6448,                 1.0678,                 1.5535,                0.61067,                0.83305,                 0.7324,                0.36863,                 1.7466,                 1.0251,                 1.7825,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.6257,                 1.0444,                 1.5324,                0.40787,                0.59892,                 0.4881,                0.16396,                 2.3351,                 1.3712,                 2.1513,               0.006733,               0.006733,               0.006733
                     68,                 1.6244,                 1.0611,                 1.5519,                0.61666,                0.85849,                0.75744,                0.38644,                 1.7293,                0.98128,                 1.7638,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.6179,                 1.0426,                  1.545,                0.50751,                 0.8227,                0.61307,                0.25326,                 2.0887,                 1.2739,                 2.0247,               0.006634,               0.006634,               0.006634
                     70,                 1.6592,                 1.0427,                 1.5468,                0.39787,                0.37828,                0.30095,                0.09325,                  2.984,                 1.8749,                 2.6482,              0.0065845,              0.0065845,              0.0065845
                     71,                  1.647,                 1.0314,                 1.5458,                0.59972,                 0.8916,                0.76194,                0.34585,                 1.9363,                 1.0726,                 1.9451,               0.006535,               0.006535,               0.006535
                     72,                 1.6376,                 1.0482,                 1.5168,                 0.6061,                0.76952,                0.71275,                0.34538,                 1.7118,                 1.0739,                 1.7451,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.6275,                  1.029,                 1.5204,                0.56056,                0.72496,                0.70746,                0.35277,                 1.7295,                  1.153,                 1.7925,               0.006436,               0.006436,               0.006436
                     74,                 1.6156,                 1.0316,                 1.5161,                0.60512,                0.87092,                0.75831,                0.40976,                 1.6193,                0.98256,                 1.7061,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.6451,                 1.0177,                 1.5399,                0.61794,                 0.8881,                0.75905,                0.40268,                   1.67,                 1.0066,                 1.7332,               0.006337,               0.006337,               0.006337
                     76,                 1.6456,                 1.0129,                 1.5392,                0.39831,                0.66379,                0.54783,                0.18549,                  2.418,                 1.3133,                 2.2596,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.6198,                 1.0166,                 1.5044,                0.54366,                0.85803,                0.70068,                0.27758,                 2.0866,                 1.1483,                 2.0626,               0.006238,               0.006238,               0.006238
                     78,                 1.6253,                  1.031,                 1.5135,                0.46382,                0.80664,                0.62357,                0.21535,                 2.3119,                 1.3562,                 2.2043,              0.0061885,              0.0061885,              0.0061885
