                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.7678,                 1.0022,                 1.2241,                 0.6215,                0.77113,                 0.7278,                0.34756,                 1.7783,                 1.0537,                 1.2492,               0.004588,               0.004588,               0.004588
                     84,                 1.7342,                0.98175,                 1.1799,                0.63443,                0.78111,                0.74851,                0.36826,                 1.7485,                 1.0176,                 1.2354,               0.004522,               0.004522,               0.004522
                     85,                 1.7612,                 1.0009,                 1.1988,                0.65223,                0.72411,                0.72495,                0.33321,                 1.8233,                 1.0637,                  1.273,               0.004456,               0.004456,               0.004456
                     86,                 1.7298,                0.97855,                 1.1853,                0.65553,                0.76656,                0.75702,                0.36849,                 1.7308,                 1.0178,                 1.2267,                0.00439,                0.00439,                0.00439
                     87,                 1.7536,                0.97771,                 1.1975,                0.64825,                0.78203,                0.76192,                0.35974,                 1.7842,                 1.0169,                 1.2485,               0.004324,               0.004324,               0.004324
                     88,                 1.7105,                0.95197,                 1.1841,                0.65938,                0.75371,                0.74042,                0.35435,                 1.7946,                 1.0133,                 1.2568,               0.004258,               0.004258,               0.004258
                     89,                 1.7199,                0.96763,                 1.1975,                0.65437,                0.77239,                0.76393,                0.37294,                 1.7709,                0.98464,                 1.2398,               0.004192,               0.004192,               0.004192
                     90,                 1.6806,                0.94455,                 1.1684,                 0.6458,                0.80743,                0.77718,                0.38052,                 1.7348,                 1.0078,                 1.2256,               0.004126,               0.004126,               0.004126
                     91,                 1.7389,                0.96883,                 1.1939,                0.59109,                 0.7519,                0.72516,                0.34021,                 1.7744,                 1.1194,                 1.2425,                0.00406,                0.00406,                0.00406
                     92,                 1.7119,                0.95719,                 1.1705,                0.68074,                0.74208,                0.75667,                0.37402,                  1.766,                0.98781,                 1.2384,               0.003994,               0.003994,               0.003994
